Training error   Test error
0.0   0.015000000000000003
0.0   0.012499999999999999
0.0   0.004166666666666667
0.0   0.0062499999999999995
0.009999999999999998   0.0075000000000000015
0.008333333333333333   0.008333333333333333
0.0071428571428571435   0.008928571428571426
0.0062499999999999995   0.009374999999999998
0.005555555555555556   0.012638888888888889
0.004999999999999999   0.013750000000000002
0.004545454545454546   0.014772727272727274
0.004999999999999999   0.01354166666666667
0.0038461538461538464   0.013461538461538466
0.0035714285714285718   0.014285714285714287
0.003333333333333333   0.014166666666666664
0.0062499999999999995   0.013281249999999998
0.0058823529411764705   0.012499999999999999
0.008333333333333333   0.012499999999999999
0.007894736842105262   0.011842105263157893
0.0075000000000000015   0.011249999999999998
0.0   0.028750000000000005
0.0   0.011874999999999998
0.0   0.004166666666666667
0.0025   0.007187500000000001
0.004   0.0075000000000000015
0.008333333333333333   0.008333333333333333
0.0071428571428571435   0.008928571428571426
0.0062499999999999995   0.009374999999999998
0.005555555555555556   0.012777777777777777
0.004999999999999999   0.013750000000000002
0.004545454545454546   0.014659090909090908
0.005833333333333333   0.013437500000000005
0.0038461538461538464   0.013461538461538466
0.0035714285714285718   0.014285714285714287
0.003333333333333333   0.014166666666666664
0.0062499999999999995   0.013281249999999998
0.00735294117647059   0.012499999999999999
0.008333333333333333   0.012152777777777778
0.007894736842105262   0.011842105263157893
0.007999999999999998   0.011249999999999998
0.05500000000000001   0.08125000000000002
0.01   0.0325
0.016666666666666666   0.012083333333333331
0.012499999999999999   0.0096875
0.013000000000000001   0.011250000000000001
0.008333333333333333   0.012708333333333332
0.008571428571428572   0.01107142857142857
0.0062499999999999995   0.00890625
0.006666666666666666   0.014166666666666666
0.007000000000000001   0.012875000000000001
0.00590909090909091   0.013750000000000002
0.005833333333333333   0.012395833333333332
0.005384615384615385   0.01278846153846154
0.006428571428571429   0.012678571428571428
0.004333333333333333   0.013500000000000002
0.007812499999999998   0.012656249999999999
0.007058823529411765   0.012205882352941176
0.008055555555555555   0.012152777777777778
0.009210526315789475   0.011710526315789473
0.008749999999999999   0.011187499999999998
0.065   0.11750000000000001
0.04250000000000001   0.05437499999999999
0.03333333333333333   0.025833333333333337
0.015   0.019375
0.016999999999999998   0.021249999999999998
0.0125   0.014166666666666666
0.009285714285714286   0.013928571428571429
0.006875000000000001   0.012968750000000001
0.007222222222222222   0.014027777777777781
0.008   0.012874999999999998
0.010454545454545456   0.015227272727272728
0.0075   0.013958333333333333
0.0073076923076923084   0.01326923076923077
0.007857142857142858   0.013749999999999998
0.006666666666666666   0.013166666666666665
0.008125000000000002   0.012656249999999999
0.009117647058823529   0.012426470588235292
0.009166666666666665   0.012291666666666666
0.009473684210526316   0.01131578947368421
0.007250000000000001   0.011437499999999998
